question,answer,tag
"So can I invest now, for my vacation 8 months later?","Articles about Mutual Fund (MF) investments typically speak about fulfilling long-term goals. So naturally, investors assume that MFs cannot help achieving short-term goals.

Let us break this myth with the example of Ramesh, a travel junkie.

Recently, the company Ramesh worked for achieved success and rewarded its employees with bonuses. With this bonus, Ramesh wanted to plan a trip to Europe. 

However, Ramesh was working on a big and prestigious project that would take about eight months to complete. He could travel to Europe only after this project ended. So his travel dates were uncertain. 

So Ramesh decided to make use of liquid fund which are ideal for such cases where the investment period is short, but uncertain. The Funds also allow him to redeem them on any working day. The money would be credited to his account the working day after he submits a request for withdrawal, allowing for high liquidity. Certain Fund Houses also allow one to request for withdrawal through an SMS or App.

This way, he could let his money grow until he was ready to travel. He could redeem some of the funds when he finally started preparing for his trip like accommodation and flight bookings. He could use the rest of the funds during the trip to buy foreign currency and pay for daily expenses. 

Planning for short-term goals become convenient with Liquid Funds.",paln everyday gole
What are the kinds of financial goals I can fulfill with Mutual Funds?,"The best part about Mutual Funds is that no matter what your financial goal is, you can find an appropriate scheme for it.

So if you have a long term financial goal like planning for your retirement or your child’s future education than equity funds could be a choice to consider

If your endeavour is to potentially generate regular income, a fixed income fund could be considered.

You may have suddenly received a windfall of money and are yet to decide where you wish to invest, you can consider a liquid fund. A liquid fund is a good substitute to consider for a savings account or even a current account to park your working capital.

Mutual funds also offer investment options for saving tax. Equity Linked saving Schemes (ELSS) are specifically designed to do the same

Mutual Funds are a one-stop shop for practically all investment needs.",paln everyday gole
Are Debt Funds suitable for my Financial Goals?,"Debt Funds provide lower but relatively stable returns as compared to equity funds. They provide stability to a portfolio as they trade in the fixed income market which is more stable in comparison to the stock market that impacts equity funds. Everyone needs a financial plan that’s designed to meet various financial goals in the future, like kid’s college education, medical expenses, house, retirement, etc. We invest our money in different assets like property, gold, stocks, Mutual Funds to achieve different financial goals that arise at different points in our lives.

Debt Funds are most suited for goals that are short-term in nature, as opposed to equity funds that are suitable for long-term goals like retirement planning, given their volatile nature in the short-term. Some Debt Funds like Liquid Mutual Funds are suitable for parking your money for few months if you’ve received a bonus or sold some other investment and are deciding on what next to do with the money. Debt funds are also suitable for goals where you don’t want to take the risk of failing to fulfil it, like the college education money that you want to withdraw in 2 years’ time. You can invest your money in a fixed income fund for such kind of goals. Thus, debt funds should be a part of every financial plan.",paln everyday gole
What happens when the market falls midway while you have invested for a longer term?,"Mutual Fund investors with long-term investments through SIPs constantly worry about market falls during this period. SIPs are well-designed to overcome some of the Mutual Fund risks like market timing and volatility.

You can beat market volatility through rupee-cost averaging, by investing regularly in Mutual Funds through SIPs. Here you buy more units when NAV is low and vice versa. The cost per unit is averaged out over the long run if NAVs move both ways. For example, if you invest INR 1,000/- per month, you get 100 units if the NAV is INR 10 and 200 units if NAV drops to INR 5. Over longertime period, the average price per unit will fall if markets move in both directions thus helping to lower volatility of returns as well.

If you invest in lump sum, number of units would remain the same during the entire holding period, but their value would go down with falling NAV during market downturns. If you hold your lumpsum investment in an equity fund for long (say over 7-8years), the occasional blips shouldn’t impact your returns as markets usually move up over the long-term. You might end up with a far higher NAV than what you started with.",Ride the market volitility
How do Mutual Funds help manage risk?,"You must properly evaluate before picking up the right Mutual Fund scheme to invest your hard-earned money. While investors often go by scheme category and top performing schemes in the category, they ignore risk indicators for these schemes. When you are comparing schemes to choose from, don’t miss out comparing their riskiness. While there are many risk indicators like Standard Deviation, Beta, and Sharpe Ratio provided in the factsheet of every scheme, product label is the most basic thing to look for. The riskometer in the label shows the risk level of the fund. This riskometer is a mandatory requirement by SEBI and represents the underlying risk associated with the fund. The six levels of risk ranging from low, low to moderate, moderate, moderately high, high, and very high have been linked to various categories of mutual funds depending on the level of risk in their portfolio. Since this kind of risk categorization has been defined by SEBI, all mutual funds are bound to categorize similar kinds of funds into the same risk category.

Apart from the riskometer which gives an overview of the fund’s riskiness, one can also look at more specific risk indicators provided in the factsheet. Standard Deviation measures the range of a fund’s return. A scheme with a higher standard deviation of return indicates its range of performance is wide, implying greater volatility. 

Beta measures a fund’s volatility with respect to the market. Beta >1 implies the scheme will be more volatile than the market and Beta<1 means it’ll be less volatile than the market. Beta of 1 indicates the scheme will move in tandem with market volatility.

Sharpe Ratio measures the excess return provided by the fund per unit of risk undertaken.  It is a good indicator of risk-adjusted return.

Next time you research on which scheme to invest in, don’t forget to evaluate them on the above risk parameters.",Ride the market volitility
Why continue investing through SIPs in a volatile market?,"When the markets turn volatile many investors start doubting their investment decisions and think of stopping their SIPs or withdrawing their investments. It’s natural to get worried when you see your investments in red during a volatile market. But it would be wise to stay put with your SIPs especially during a falling market because with the same amount of monthly investments you will end up buying more units. We all love to bargain shopping be it during an online sale or simply at the sabzi shop. Isn’t it? Then why not for our Mutual Fund investments when prices are falling?

The market is more unpredictable than even our weather forecast apps. You can never time yourself perfectly to invest a lumpsum amount when the market falls. What if the market falls further after you’ve invested? Similarly, you cannot time yourself perfectly to sell at a market high because the market may go up further after you’ve sold. If you try to catch the market, you will be grossly disappointed, and your returns can be affected due to wrong timing. Hence it is better to invest regularly through highs and lows of the market by investing through a SIP with a clear focus on your goals. You need not worry about market volatility since the cost of your investments will average out over a period. ",Ride the market volitility
What is the risk of investing in Mutual Funds?,"We have all heard: “Mutual Fund investments are subject to market risks.” Ever wondered what are these risks?

The image on the left talks about the various types of risks.

Not all risks impact all the fund schemes. The Scheme Information Document (SID) helps understand which risks apply to your selected scheme.

So how does the fund management team manage these risks?

It all depends on what type of investments the Mutual Fund has invested in. Certain securities are more sensitive to certain risks and some are exposed to some other.

Professional help, diversification and SEBI’s regulations help mitigate risks in Mutual Funds.

Finally, and the most important question that many investors have asked: Can a Mutual Fund company run away with my money? This is just not possible given the structure of Mutual Funds as well as the strong regulations.",Ride the market volitility
What are the indicators of risk in a Mutual Fund Scheme,"ou must properly evaluate before picking up the right Mutual Fund scheme to invest your hard-earned money. While investors often go by scheme category and top performing schemes in the category, they ignore risk indicators for these schemes. When you are comparing schemes to choose from, don’t miss out comparing their riskiness. While there are many risk indicators like Standard Deviation, Beta, and Sharpe Ratio provided in the factsheet of every scheme, product label is the most basic thing to look for. The riskometer in the label shows the risk level of the fund. This riskometer is a mandatory requirement by SEBI and represents the underlying risk associated with the fund. The six levels of risk ranging from low, low to moderate, moderate, moderately high, high, and very high have been linked to various categories of mutual funds depending on the level of risk in their portfolio. Since this kind of risk categorization has been defined by SEBI, all mutual funds are bound to categorize similar kinds of funds into the same risk category.

Apart from the riskometer which gives an overview of the fund’s riskiness, one can also look at more specific risk indicators provided in the factsheet. Standard Deviation measures the range of a fund’s return. A scheme with a higher standard deviation of return indicates its range of performance is wide, implying greater volatility. 

Beta measures a fund’s volatility with respect to the market. Beta >1 implies the scheme will be more volatile than the market and Beta<1 means it’ll be less volatile than the market. Beta of 1 indicates the scheme will move in tandem with market volatility.

Sharpe Ratio measures the excess return provided by the fund per unit of risk undertaken.  It is a good indicator of risk-adjusted return.

Next time you research on which scheme to invest in, don’t forget to evaluate them on the above risk parameters.",Ride the market volitility
If Mutual Funds diversify risk then why are they considered risky?,"Mutual Funds invest in securities, be it equity or debt, whose values fluctuate along with market movement. This makes them risky because NAV of the fund depends on the individual security values held in the fund’s portfolio. But since mutual funds invest in securities across different sectors, they diversify this market risk. Since a fund invests in many securities, the risk that all of them will go down in value on any day is reduced. Thus, it is true that mutual funds diversify risk, but they don’t eliminate it. The diversification followed by a fund manager reduces the market risk of the fund to the extent of diversification. The more diversified a fund is, the less risky it is. 

Concentrated funds like thematic or sector funds are riskier than multi-cap funds will impact all the companies of the affected sector in some way or the other while in a multi-cap fund, the diversification across sector and capitalization works like an airbag during a car accident, reducing the impact of the unfavourable condition on the fund’s NAV.

When you invest in Mutual Funds, look at the degree of diversification in the fund’s sector allocation. Depending on your risk-taking ability, choose a fund with the right kind of diversification that’ll suit you.
",Ride the market volitility
Why continue investing through SIPs in a volatile market?,"When the markets turn volatile many investors start doubting their investment decisions and think of stopping their SIPs or withdrawing their investments. It’s natural to get worried when you see your investments in red during a volatile market. But it would be wise to stay put with your SIPs especially during a falling market because with the same amount of monthly investments you will end up buying more units. We all love to bargain shopping be it during an online sale or simply at the sabzi shop. Isn’t it? Then why not for our Mutual Fund investments when prices are falling?

The market is more unpredictable than even our weather forecast apps. You can never time yourself perfectly to invest a lumpsum amount when the market falls. What if the market falls further after you’ve invested? Similarly, you cannot time yourself perfectly to sell at a market high because the market may go up further after you’ve sold. If you try to catch the market, you will be grossly disappointed, and your returns can be affected due to wrong timing. Hence it is better to invest regularly through highs and lows of the market by investing through a SIP with a clear focus on your goals. You need not worry about market volatility since the cost of your investments will average out over a period. ",Ride the market volitility
Why should one not be bothered by volatility in mutual funds?,"During a long drive, do you worry about your speed or the destination and how to get there? Obviously, you don’t count the bumps but focus on reaching your destination safely in time. The same goes with Mutual Funds. You shouldn’t worry about the daily NAV fluctuations but rather focus on whether it is taking you closer to the financial goal in the time you have set for it.

During the drive, there are numerous times when your speed drops to near zero, but the vehicle picks up speed once you get over the bump and continue your journey. At the end of the trip, what matters is the average speed you clocked to reach your destination. Similarly, a mutual fund can have numerous bumps in the short-term but the longer you stay invested, the impact of these fluctuations decrease and your chances of earning a positive return goes up just like your car’s average speed during a long trip. 

Every economy and hence market go through periods of growth and recession which impact your fund’s return but only in the short-term. Over the long-term, your fund would have gone through several such bouts of ups and downs, but their impact would be muted because it’s the long-term compounded total return that will count at the end of your investment journey. ",Ride the market volitility
Does long term mean less risk?,"Investments in Mutual Funds require the appropriate time horizon. Having the right time horizon, not only provides a better chance of getting expected, investment returns, but also lowers the risk in the investment.

Now what is this “risk” we are talking about? In simple terms, it is volatility of investment performance, as well as chances of eroding investment capital. By staying invested over the long term, some years of low/negative returns and some years of impressive returns will make the average returns quite reasonable. Therefore, the investor can ‘average out every year’s widely fluctuating returns’ to get a more stable long term return.

The recommended time horizon, differs for every asset class as well as Mutual Fund category. Please consult a financial expert and read the scheme-related documents before making an investment decision.",Ride the market volitility
How to deal with rumours while investing?,"How often have you come across people you know who have lost money in the stock market because they couldn’t guess where the market would go next moment or who made money because they knew where the market was headed next? Even the best market analysts can’t predict with absolute precision how the market will move the very next moment because financial markets are driven by sentiments and market sentiments are driven by market news. 

An investor today has easy access to market news that may be factually correct or could be a rumour or mere speculation. While investment decisions based on factually correct news may yield positive results, investment decisions based on rumours or speculations can cause loss to investors. 

According to Behavioural Finance Theory, investors are irrational by nature i.e their investment behaviour is not backed by thorough research and analysis but rather influenced by various cognitive and emotional biases including herd mentality. Hence, any incorrect market information can fuel panic amongst investors leading to huge erosion of investor wealth.

Then how can an investor hold himself steady when the market is flooded with all kinds of news ranging from verified ones to rumours? This is where Mutual Fund investments can come to the rescue of millions of small investors who lack the capability and resources to carry out extensive research and analysis. Investing in mutual funds helps circumvent all the above problems as professional fund managers take care of the investment decisions on your behalf. Also, mutual fund investments held over a long period of time help you tide over short-term fluctuations caused by market volatility that is many times fueled by market rumours.

Fund managers have a team of research analysts who carry out extensive research based on all public information to evaluate each security before taking a decision to buy, hold or sell it.  You can always reach out to your SEBI registered financial advisor or mutual fund distributor for guidance in case you come across some market news regarding any security in the fund’s portfolio or about the fund that sounds worrisome.",Ride the market volitility
What happens when the market falls midway while you have invested for a longer term?,"Mutual Fund investors with long-term investments through SIPs constantly worry about market falls during this period. SIPs are well-designed to overcome some of the Mutual Fund risks like market timing and volatility.

You can beat market volatility through rupee-cost averaging, by investing regularly in Mutual Funds through SIPs. Here you buy more units when NAV is low and vice versa. The cost per unit is averaged out over the long run if NAVs move both ways. For example, if you invest INR 1,000/- per month, you get 100 units if the NAV is INR 10 and 200 units if NAV drops to INR 5. Over longertime period, the average price per unit will fall if markets move in both directions thus helping to lower volatility of returns as well.

If you invest in lump sum, number of units would remain the same during the entire holding period, but their value would go down with falling NAV during market downturns. If you hold your lumpsum investment in an equity fund for long (say over 7-8years), the occasional blips shouldn’t impact your returns as markets usually move up over the long-term. You might end up with a far higher NAV than what you started with.",Ride the market volitility
What are Debt Funds?,"A debt fund is a Mutual Fund scheme that invests in fixed income instruments, such as Corporate and Government Bonds, corporate debt securities, and money market instruments etc. that offer capital appreciation. Debt funds are also referred to as Fixed Income Funds or Bond Funds.

A few major advantages of investing in debt funds are low cost structure, relatively stable returns, relatively high liquidity and reasonable safety.

Debt funds are ideal for investors who aim for regular income, but are risk-averse. Debt funds are less volatile and, hence, are less risky than equity funds. If you have been saving in traditional fixed income products like Bank Deposits, and looking for steady returns with low volatility, debt Mutual Funds could be a better option, as they help you achieve your financial goals in a more tax efficient manner and therefore earn better returns.

In terms of operation, debt funds are not entirely different from other Mutual Fund schemes. However, in terms of safety of capital, they score higher than equity Mutual Funds.",Type of Mutual Funds
What are the various type of debt funds?,"Debt funds are for investors who seek safety of capital or regular income from investment and/or want to park money for short periods.

But debt funds are of various types. 

Like in banks, you can open a savings account, where you can put and remove money whenever you want.  However, it doesn’t make sense to keep money idle, if you are not likely to use it for some time. You may, in such a case, open a fixed deposit – where the money is locked for a certain period allowing you to earn a higher rate of interest. You may also opt for a recurring deposit, wherein you keep investing a fixed amount every month for a pre-defined period of time. All these products help you with different requirements.

Similarly, among Mutual Funds too there are variants available in the debt fund category to fulfill various needs of investors, like – Liquid Funds, Income Funds, Government Securities and Fixed Maturity Plans.

An investor would be advised to select schemes based on one’s unique requirements.",Type of Mutual Funds
What are Equity Funds?,"An Equity Fund is a Mutual Fund Scheme that invests predominantly in shares/stocks of companies. They are also known as Growth Funds.

Equity Funds are either Active or Passive.  In an Active Fund, a fund manager scans the market, conducts research on companies, examines performance and looks for the best stocks to invest. In a Passive Fund, the fund manager builds a portfolio that mirrors a popular market index, say Sensex or Nifty Fifty.

Furthermore, Equity Funds can also be divided as per Market Capitalisation, i.e. how much the capital market values an entire company’s equity. There can be Large Cap, Mid Cap, Small or Micro Cap Funds.

Also there can be a further classification as Diversified or Sectoral / Thematic. In the former, the scheme invests in stocks across the entire market spectrum, while in the latter it is restricted to only a particular sector or theme, say, Infotech or Infrastructure.

Thus, an equity fund essentially invests in company shares, and aims to provide the benefit of professional management and diversification to ordinary investors.",Type of Mutual Funds
ELSS Fund – Tax Saving Mutual Fund,"An ELSS is an Equity Linked Savings Scheme, that allows an individual or HUF a deduction from total income of up to Rs. 1.5 lacs under Sec 80C of Income Tax Act 1961.

Thus if an investor was to invest Rs. 50,000 in an ELSS, then this amount would be deducted from the total taxable income, thus reducing her tax burden.

These schemes have a lock-in period of three years from date of units allotment. After the lock-in period is over, the units are free to be redeemed or switched. ELSS offer both growth and dividend options. Investors can also invest through Systematic Investment Plans (SIP), and investments up to ₹ 1.5 lakhs, made in a financial year are eligible for tax deduction",Type of Mutual Funds
What are Liquid Funds?,"On watching the video on the left, you will notice that in all the situations, the money is lying idle for a short period of time. In certain cases, the exact time when the money needs to be taken out may not be known. What does the investor do? Where should the money be parked?

One must consider a few things here:

The money is parked for a short period of time
One would prefer that there is no drop in investment value
Even low returns should be fine, if it means the money is safe
The period may not be fixed or even known
Given the above four conditions, putting money in a fixed deposit may serve the purpose, but only to a limited extent. One of the big benefits of a fixed deposit is the safety. At the same time, one of the limitations is often ignored – the money can be parked for a fixed period only – there is no flexibility regarding the period of parking.

That is where liquid mutual funds could be considered. As is conveyed in the video too, they offer safety, reasonably good returns (in comparison to savings accounts or even very short term fixed deposits) and full flexibility of redemption any time.",Type of Mutual Funds
Are there different kinds of equity funds available?,"There are different equity funds catering to various needs of investors. The broad objective of all is to generate appreciation over long periods.

To understand it better let us look at the contingent we send to the Olympic Games. There is a large group of players, and then there are teams for various sports. One of the major events at the Olympic Games is the “track and field” event. We send a group for these events, as well. Within that, there are some races – right from a 100-meter sprint to long distance races, including marathon. Though, the whole contingent has gone to compete in the Olympic Games, there would be different players with different strengths.

It is the same with Mutual Funds. If all the Mutual Fund schemes are equivalent to the entire Olympic contingent, equity funds may be similar to a group within, which participates in, various track and field events. As we saw, there are various sub-categories even within track and field, similarly, there are different schemes within equity funds.",Type of Mutual Funds
Can one invest in multiple asset classes using one Mutual Fund scheme?,"Mutual Fund schemes investing in a single asset category are like specialist bowlers or batsmen. Whereas certain other schemes, known as hybrid funds, invest in more than one asset categories, e.g. some invest in equity and debt both. Some may also invest in gold apart from equity and debt.

In cricket, we see batting all-rounders as well as bowling all-rounders depending on the skill they are better at. Similarly, there are Mutual Fund schemes that invest heavily in one asset category as compared to another.

The oldest category, the balanced fund category, invests in equity and debt. The allocation to equity is normally higher (over 65%) and the rest is in debt.

The other popular category known as MIP or the monthly income plan endeavours to provide monthly (or regular) income to investors. However, there is no guarantee of regular income. These schemes invest predominantly in debt securities so that regular income can be generated. A small portion is invested in equity to enhance returns over the years. 

Another variation of the hybrid scheme invests in equity, debt and gold, to take advantage of three different asset classes in one portfolio.

An investor has an option of buying different equity or debt or gold fund schemes to create a hybrid portfolio or alternately buy a hybrid fund.",Type of Mutual Funds
What is a Hybrid Fund?,"Our choice of meals when we dine depend largely on the time at hand, the occasion and of course, our mood. If we’re in a hurry, say during an office lunch or eating before boarding a bus/train, we may opt for a combo meal. Or if we know a combo meal is famous, we may not bother to go through the menu. A leisurely meal would mean ordering individual items from the menu, as many as we’d like.

Similarly, an investor in a Mutual Fund can select and invest individually in various schemes, e.g. equity fund , debt fund , gold fund , liquid fund , etc. At the same time, there are schemes like a combo meal – known as hybrid schemes. These hybrid schemes, earlier known as Balanced Funds, invest in two or more asset categories so that the investor can avail the benefit of both. There are various types of hybrid funds in the Indian Mutual Fund industry. There are schemes that invest in two assets, viz., equity and debt, or debt and gold. There are also schemes that invest in equity, debt and gold. However, most of the popular hybrid schemes invest in equity and debt assets.

Different types of hybrid funds follow different asset allocation strategies. Remember to have your objectives clear before you invest.",Type of Mutual Funds
What are the various types of mutual funds?,"Equity or Growth Funds
These invest predominantly in equities i.e. shares of companies
The primary objective is wealth creation or capital appreciation.
They have the potential to generate higher return and are best for long term investments.
Examples would be
“Large Cap” funds which invest predominantly in companies that run large established business
“Mid Cap funds” which invest in mid-sized companies. funds which invest in mid-sized companies.
“Small Cap” funds that invest in small sized companies
“""Multi Cap"" funds” funds that invest in a mix of large, mid and small sized companies.
“Sector” funds that invest in companies that are related to one type of business. For e.g. Technology funds that invest only in technology companies
“Thematic” funds that invest in a common theme. For e.g. Infrastructure funds that invest in companies that will benefit from the growth in the infrastructure segment
Tax-Saving Funds
Income or Bond or Fixed Income Funds
These invest in Fixed Income Securities, like Government Securities or Bonds, Commercial Papers and Debentures, Bank Certificates of Deposits and Money Market instruments like Treasury Bills, Commercial Paper, etc.
These are relatively safer investments and are suitable for Income Generation.
Examples would be Liquid Funds, Short Term, Floating Rate, Corporate Debt, Dynamic Bond, Gilt Funds, etc.
Hybrid Funds
These invest in both Equities and Fixed Income, thus offering the best of both, Growth Potential as well as Income Generation.
Examples would be Aggressive Balanced Funds, Conservative Balanced Funds, Pension Plans, Child Plans and Monthly Income Plans, etc.",Type of Mutual Funds
